,Movie_Name,Genre,Runtime,Year,Synopsis,Votes,Gross Amount,Rating,Metascore
83,The Little Rascals,"Comedy, Family, Romance",82,1994,"Alfalfa is wooing Darla and his ""He-Man-Woman-Hating"" friends attempt to sabotage the relationship.",40451,51.76,6.3,45.0
84,Moonrise Kingdom,"Comedy, Drama, Romance",94,2012,"A pair of young lovers flee their New England town, which causes a local search party to fan out to find them.",297370,45.51,7.8,84.0
85,The Girl Next Door,"Comedy, Drama, Romance",109,2004,A teenager's dreams come true when a former porn star moves in next door and they fall in love.,192926,14.59,6.7,47.0
86,Wet Hot American Summer,"Comedy, Romance",97,2001,"Set on the last day of camp, in the hot summer of 1981, a group of counselors try to complete their unfinished business before the day ends.",51170,0.29,6.6,42.0
87,Tangled,"Animation, Adventure, Comedy",100,2010,"The magically long-haired Rapunzel has spent her entire life in a tower, but now that a runaway thief has stumbled upon her, she is about to discover the world for the first time, and who she really is.",375578,200.82,7.7,71.0
88,Malena,"Comedy, Drama, Romance",108,2000,"Amidst the war climate, a teenage boy discovering himself becomes love-stricken by Malèna, a sensual woman living in a small, narrow-minded Italian town.",82284,3.43,7.5,54.0
90,As Good as It Gets,"Comedy, Drama, Romance",139,1997,"A single mother and waitress, a misanthropic author, and a gay artist form an unlikely friendship after the artist is assaulted in a robbery.",259250,148.48,7.7,67.0
92,"Definitely, Maybe","Comedy, Drama, Romance",112,2008,A political consultant tries to explain his impending divorce and past relationships to his 11-year-old daughter.,148461,31.97,7.1,59.0
93,Notting Hill,"Comedy, Drama, Romance",124,1999,The life of a simple bookshop owner changes when he meets the most famous film star in the world.,251421,116.09,7.1,68.0
94,Jerry Maguire,"Comedy, Drama, Romance",139,1996,"When a sports agent has a moral epiphany and is fired for expressing it, he decides to put his new philosophy to the test as an independent agent with the only athlete who stays with him and his former secretary.",226728,153.95,7.3,77.0
