Movie_Name,Genre,Runtime,Year,Synopsis,Votes,Gross Amount,Rating,Metascore
Me and Earl and the Dying Girl,"
Comedy, Drama, Romance            ",105 min,(2015),"
    High schooler Greg, who spends most of his time making parodies of classic movies with his co-worker Earl, finds his outlook forever altered after befriending a classmate who has just been diagnosed with cancer.","115,232",$6.74M,7.7,74        
Dream Girl,"
Comedy, Romance            ",132 min,(III) (2019),"
    Rom-com Movie, directed by Raaj Shaandilyaa, stars Ayushmann Khurrana who plays a 'dream girl'. In every love story, there is always one trying to win the heart of the other, who could be the 'dream girl'.","4,080",,7.5,
A Christmas Detour,"
Comedy, Romance            ",85 min,(2015 TV Movie),"
    An anxious bride-to-be throws in with a broken-hearted guy and a happily married couple for an emergency ride to NYC, learning about each other and themselves along the way.","2,252",,6.2,
Sleepless in Seattle,"
Comedy, Drama, Romance            ",105 min,(1993),"
    A recently widowed man's son calls a radio talk-show in an attempt to find his father a partner.","148,133",$126.53M,6.8,72        
The Perfect Date,"
Comedy, Romance            ",89 min,(I) (2019),"
    To save up for college, Brooks Rattigan creates an app where anyone can pay him to play the perfect stand-in boyfriend for any occasion.","24,749",,5.8,
Frances Ha,"
Comedy, Drama, Romance            ",86 min,(2012),"
    A New York woman (who doesn't really have an apartment) apprentices for a dance company (though she's not really a dancer) and throws herself headlong into her dreams, even as the possibility of realizing them dwindles.","62,177",$4.06M,7.4,82        
Stranger Than Fiction,"
Comedy, Drama, Fantasy            ",113 min,(2006),"
    An I.R.S. auditor suddenly finds himself the subject of narration only he can hear: narration that begins to affect his entire life, from his work, to his love-interest, to his death.","210,025",$40.14M,7.6,67        
Four Christmases,"
Comedy, Drama, Romance            ",88 min,(2008),"
    A couple struggles to visit all four of their divorced parents on Christmas.","58,928",$120.15M,5.6,41        
Election,"
Comedy, Drama, Romance            ",103 min,(1999),"
    A high school teacher's personal life becomes complicated as he works with students during the school elections, particularly with an obsessive overachiever determined to become student body president.","84,544",$14.88M,7.2,83        
The Adventures of Buckaroo Banzai Across the 8th Dimension,"
Adventure, Comedy, Romance            ",103 min,(1984),"
    Adventurer, brain surgeon, rock musician Buckaroo Banzai and his crime-fighting team, the Hong Kong Cavaliers, must stop evil alien invaders from the eighth dimension who are planning to conquer Earth.","22,524",$6.25M,6.3,70        
My Best Friend's Wedding,"
Comedy, Drama, Romance            ",105 min,(1997),"
    When a woman's long-time friend reveals he's engaged, she realizes she loves him herself and sets out to get him, with only days before the wedding.","120,184",$127.12M,6.3,50        
The Amazing World of Gumball,"
Animation, Short, Adventure            ",11 min,(2011–2019),"
    The life of a twelve-year-old boy who happens to be a blue cat as he lives with his family and other strange creatures.","17,339",,8.1,
Punch-Drunk Love,"
Comedy, Drama, Romance            ",95 min,(2002),"
    A psychologically troubled novelty supplier is nudged towards a romance with an English woman, all the while being extorted by a phone-sex line run by a crooked mattress salesman, and purchasing stunning amounts of pudding.","136,110",$17.84M,7.3,78        
This Beautiful Fantastic,"
Comedy, Drama, Fantasy            ",100 min,(2016),"
    A young woman who dreams of being a children's author makes an unlikely friendship with a cantankerous, rich old widower.","7,288",$0.04M,6.9,51        
The Layover,"
Comedy, Romance            ",88 min,(I) (2017),"
    Two friends on a road trip compete for the affections of a handsome man when their flight is redirected due to a hurricane.","11,046",,4.7,15        
Rules of Engagement,"
Comedy, Romance            ",22 min,(2007–2013),"
    Two couples and their single friend, all at different stages in their relationships, deal with the complications of dating, commitment and marriage.","30,391",,7.3,
Being Erica,"
Adventure, Comedy, Drama            ",45 min,(2009–2011),"
    ""Therapist"" Dr. Tom - who is constantly spouting famous and not so famous historical quotes - is Erica Strange's savior and worst enemy.","8,673",,7.5,
This Is 40,"
Comedy, Romance            ",134 min,(2012),"
    Pete and Debbie are both about to turn 40, their kids hate each other, both of their businesses are failing, they're on the verge of losing their house, and their relationship is threatening to fall apart.","120,537",$67.54M,6.2,59        
Mannequin,"
Comedy, Fantasy, Romance            ",90 min,(1987),"
    A young artist, searching for his vocation, makes a mannequin so perfect he falls in love with it. Finding the mannequin in a store window, he gets a job there and his creation comes to life.","27,265",$42.72M,5.9,21        
What to Expect When You're Expecting,"
Comedy, Drama, Romance            ",110 min,(2012),"
    Follows the lives of five interconnected couples as they experience the thrills and surprises of having a baby and realize that no matter what you plan for, life does not always deliver what is expected.","66,852",$41.15M,5.7,41        
The Family Stone,"
Comedy, Drama, Romance            ",103 min,(2005),"
    An uptight, conservative businesswoman accompanies her boyfriend to his eccentric and outgoing family's annual Christmas celebration and finds that she's a fish out of water in their free-spirited way of life.","57,204",$60.06M,6.3,56        
Yes Man,"
Comedy, Romance            ",104 min,(2008),"
    A man challenges himself to say ""yes"" to everything for an entire year.","315,760",$97.69M,6.8,46        
Sing Street,"
Comedy, Drama, Music            ",106 min,(2016),"
    A boy growing up in Dublin during the 1980s escapes his strained family life by starting a band to impress the mysterious girl he likes.","77,185",$3.24M,8.0,79        
Leap Year,"
Comedy, Romance            ",100 min,(2010),"
    Anna Brady plans to travel to Dublin, Ireland to propose marriage to her boyfriend Jeremy on Leap Day, because, according to Irish tradition, a man who receives a marriage proposal on a leap day must accept it.","88,094",$25.92M,6.5,33        
Two Weeks Notice,"
Comedy, Romance            ",101 min,(2002),"
    A lawyer decides that she's used too much like a nanny by her boss, so she walks out on him.","100,052",$93.35M,6.1,42        
My Girl,"
Comedy, Drama, Family            ",102 min,(1991),"
    A young girl, on the threshold of her teen years, finds her life turning upside down, when she is accompanied by an unlikely friend.","67,297",$59.85M,6.9,56        
Better Off Dead...,"
Comedy, Romance            ",97 min,(1985),"
    A teenager has to deal with his girlfriend dumping him among family crises, homicidal paper boys, and a rival skier.","39,318",$10.30M,7.1,51        
Can't Buy Me Love,"
Comedy, Drama, Romance            ",94 min,(1987),"
    A nerdy outcast secretly pays the most popular girl in school one thousand dollars to be his girlfriend.","30,159",$31.62M,6.8,36        
Insecure,"
Comedy, Romance            ",30 min,(2016– ),"
    Follows the awkward experiences and racy tribulations of a modern-day African-American woman.","9,524",,7.8,
Isa Pa with Feelings,"
Comedy, Romance            ",102 min,(2019),"
    A young deaf man teaches a girl basic sign language.",97,,8.9,
Flipped,"
Comedy, Drama, Romance            ",90 min,(I) (2010),"
    Two eighth-graders start to have feelings for each other despite being total opposites.","76,365",$1.75M,7.7,45        
Snowed-Inn Christmas,"
Comedy, Romance            ",86 min,(2017 TV Movie),"
    Jenna Hudson (Bethany Joy Lenz) and Kevin Jenner (Andrew Walker) are polar opposites working for the same online publication in New York City. With both having nowhere they want to be for ...                ","1,365",,7.4,
"Juliet, Naked","
Comedy, Drama, Music            ",97 min,(2018),"
    Juliet, Naked is the story of Annie (the long-suffering girlfriend of Duncan) and her unlikely transatlantic romance with once revered, now faded, singer-songwriter, Tucker Crowe, who also happens to be the subject of Duncan's musical obsession.","14,165",$3.44M,6.6,67        
The Apartment,"
Comedy, Drama, Romance            ",125 min,(1960),"
    A man tries to rise in his company by letting its executives use his apartment for trysts, but complications and a romance of his own ensue.","148,778",$18.60M,8.3,94        
Little,"
Comedy, Fantasy, Romance            ",109 min,(I) (2019),"
    A woman is transformed into her younger self at a point in her life when the pressures of adulthood become too much to bear.","6,787",$40.67M,5.4,49        
Valentine's Day,"
Comedy, Romance            ",125 min,(I) (2010),"
    Intertwining couples and singles in Los Angeles break-up and make-up based on the pressures and expectations of Valentine's Day.","108,445",$110.49M,5.7,34        
Adventureland,"
Comedy, Drama, Romance            ",107 min,(2009),"
    In the summer of 1987, a college graduate takes a 'nowhere' job at his local amusement park, only to find it's the perfect course to get him prepared for the real world.","148,045",$16.03M,6.8,76        
Housefull 2,"
Action, Comedy, Musical            ",145 min,(2012),"
    A comedy of errors wherein four men help each other to fool their prospective father-in-laws creating a cascade of confusion and mayhem.","12,147",$1.50M,5.2,
Working Girl,"
Comedy, Drama, Romance            ",113 min,(1988),"
    When a secretary's idea is stolen by her boss, she seizes an opportunity to steal it back by pretending she has her boss' job.","48,651",$64.00M,6.8,73        
Harold and Maude,"
Comedy, Drama, Romance            ",91 min,(1971),"
    Young, rich, and obsessed with death, Harold finds himself changed forever when he meets lively septuagenarian Maude at a funeral.","66,674",,7.9,62        
100 Girls,"
Comedy, Romance            ",94 min,(2000),"
    Matt spends the night with a girl in an elevator during power outage in a girls' college dorm. He never sees her. Waking up in the morning, panties are all that's left of her. How does he find her in a building with 100 girls?","20,102",,5.8,
50/50,"
Comedy, Drama, Romance            ",100 min,(2011),"
    Inspired by a true story, a comedy centered on a 27-year-old guy who learns of his cancer diagnosis and his subsequent struggle to beat the disease.","304,327",$35.01M,7.6,72        
The Artist,"
Comedy, Drama, Romance            ",100 min,(I) (2011),"
    An egomaniacal film star develops a relationship with a young dancer against the backdrop of Hollywood's silent era.","219,743",$44.67M,7.9,89        
Café Society,"
Comedy, Drama, Romance            ",96 min,(2016),"
    In the 1930s, a Bronx native moves to Hollywood and falls in love with a young woman who is seeing a married man.","64,649",$11.10M,6.6,64        
Drop Dead Gorgeous,"
Comedy, Romance, Thriller            ",97 min,(1999),"
    A small-town beauty pageant turns deadly as it becomes clear that someone will go to any lengths to win.","30,941",$10.56M,6.6,28        
Sideways,"
Comedy, Drama, Romance            ",127 min,(2004),"
    Two men reaching middle age with not much to show but disappointment embark on a week-long road trip through California's wine country, just as one is about to take a trip down the aisle.","171,801",$71.50M,7.5,94        
40 Days and 40 Nights,"
Comedy, Romance            ",96 min,(2002),"
    After a brutal break-up, a young man vows to stay celibate during the forty days of Lent, but finds the girl of his dreams and is unable to do anything about it.","68,079",$37.95M,5.6,53        
Love Me,"
Comedy, Drama, Romance            ",,(2019– ),"
    Friendship, grief and romance intersect with love in the lives of three generations of people living in Stockholm.",266,,8.4,
Benjamin,"
Comedy, Romance            ",85 min,(II) (2018),"
    In Simon Amstell's affecting, bittersweet comedy, a rising young filmmaker is thrown into emotional turmoil by a burgeoning romance and the upcoming premiere of his second feature.",506,,7.0,
Begin Again,"
Comedy, Drama, Music            ",104 min,(II) (2013),"
    A chance encounter between a disgraced music-business executive and a young singer-songwriter, new to Manhattan, turns into a promising collaboration between the two talents.","132,597",$16.17M,7.4,62        
Shrek Forever After,"
Animation, Adventure, Comedy            ",93 min,(2010),"
    Rumpelstiltskin tricks a mid-life crisis burdened Shrek into allowing himself to be erased from existence and cast in a dark alternate timeline where Rumpel rules supreme.","171,841",$238.37M,6.3,58        
The Flintstones in Viva Rock Vegas,"
Comedy, Family, Romance            ",90 min,(2000),"
    In this live-action prequel to The Flintstones (1994), the Flintstones and the Rubbles go on a trip to Rock Vegas, where Wilma (Kristen Johnston) is pursued by playboy Chip Rockefeller (Thomas Gibson).","19,946",$35.27M,3.6,27        
Hall Pass,"
Comedy, Romance            ",105 min,(2011),"
    Rick and Fred, two husbands who are having difficulty in their marriages, are given a Hall Pass by their wives: for one week, they can do whatever they want.","115,247",$45.06M,5.8,45        
"Two Guys, a Girl and a Pizza Place","
Comedy, Romance            ",30 min,(1998–2001),"
    Three twenty-somethings share a Boston apartment and hang around (and work) at a pizza place.","14,971",,7.4,
Just Like Heaven,"
Comedy, Drama, Fantasy            ",95 min,(2005),"
    A lonely landscape architect falls for the spirit of the beautiful woman who used to live in his new apartment.","94,513",$48.32M,6.7,47        
Mallrats,"
Comedy, Romance            ",94 min,(1995),"
    Both dumped by their girlfriends, two best friends seek refuge in the local mall.","110,865",$2.12M,7.1,41        
Hot Summer Nights,"
Comedy, Crime, Drama            ",107 min,(2017),"
    In the summer of 1991, a sheltered teenage boy comes of age during a wild summer he spends in Cape Cod getting rich from selling pot to gangsters, falling in love for the first time, partying and eventually realizing that he is in over his head.","8,959",,6.4,44        
Miss Congeniality,"
Action, Comedy, Crime            ",109 min,(2000),"
    An F.B.I. Agent must go undercover in the Miss United States beauty pageant to prevent a group from bombing the event.","173,925",$106.81M,6.2,43        
Howard the Duck,"
Action, Adventure, Comedy            ",110 min,(1986),"
    A sarcastic humanoid duck is pulled from his homeworld to Earth where he must stop a hellish alien invasion with the help of a nerdy scientist and a cute struggling female rock singer who fancies him.","40,572",$16.30M,4.7,28        
United States of Tara,"
Comedy, Drama, Romance            ",30 min,(2009–2011),"
    A woman struggles to find a balance between her dissociative identity disorder and raising a dysfunctional family.","20,716",,7.9,
Australia,"
Adventure, Comedy, Drama            ",165 min,(2008),"
    Set in northern Australia before World War II, an English aristocrat who inherits a sprawling ranch reluctantly pacts with a stock-man in order to protect her new property from a takeover plot. As the pair drive 2,000 head of cattle over unforgiving landscape, they experience the bombing of Darwin, Australia, by Japanese forces firsthand.","115,140",$49.55M,6.6,53        
Aquamarine,"
Comedy, Family, Fantasy            ",104 min,(2006),"
    Two teenage girls discover a mermaid in their beach club's swimming pool.","36,159",$18.60M,5.3,51        
Can't Hardly Wait,"
Comedy, Romance            ",100 min,(1998),"
    Multicharacter teenage comedy about high school graduates with different agenda of life on graduation night.","42,678",$25.34M,6.5,52        
New Year's Eve,"
Comedy, Romance            ",113 min,(2011),"
    The lives of several couples and singles in New York City intertwine over the course of New Year's Eve.","77,543",$54.54M,5.7,22        
Something's Gotta Give,"
Comedy, Drama, Romance            ",128 min,(2003),"
    A swinger on the cusp of being a senior citizen with a taste for young women falls in love with an accomplished woman closer to his age.","105,320",$124.73M,6.7,66        
Imagine Me & You,"
Comedy, Drama, Romance            ",90 min,(2005),"
    A newlywed bride becomes infatuated with another woman, who questions her sexual orientation, promoting a stir among the bride's family and friends.","28,081",$0.67M,6.8,49        
Drumline,"
Comedy, Drama, Romance            ",118 min,(2002),"
    A band director recruits a Harlem street drummer to play at a Southern university.","31,982",$56.40M,5.8,63        
The Three Musketeers,"
Action, Adventure, Comedy            ",105 min,(1993),"
    France, 1625: Young d'Artagnan heads to Paris to join the Musketeers but the evil cardinal's disbanded them - save 3. He meets the 3, Athos, Porthos and Aramis, and joins them on their quest to save the king and country.","47,550",$53.90M,6.4,43        
Grosse Pointe Blank,"
Action, Comedy, Crime            ",107 min,(1997),"
    Martin Blank is a professional assassin. He is sent on a mission to a small Detroit suburb, Grosse Pointe, and, by coincidence, his ten-year high school reunion party is taking place there at the same time.","83,688",$28.01M,7.3,76        
Son in Law,"
Comedy, Drama, Romance            ",95 min,(1993),"
    Having gotten a taste of college life, a drastically changed farm girl returns home for Thanksgiving break with her best friend, a flamboyant party animal who is clearly a fish out of water in a small farm town.","16,420",$36.45M,5.8,
The Princess Diaries 2: Royal Engagement,"
Comedy, Family, Romance            ",113 min,(2004),"
    Now settled in Genovia, Princess Mia faces a new revelation: she is being primed for an arranged marriage to an English suitor.","69,224",$95.17M,5.8,43        
Sierra Burgess Is a Loser,"
Comedy, Drama, Romance            ",105 min,(2018),"
    A case of mistaken identity results in unexpected romance when the most popular girl in high school and the biggest loser must come together to win over their crushes.","29,858",,5.9,60        
Say Anything...,"
Comedy, Drama, Romance            ",100 min,(1989),"
    A noble underachiever and a beautiful valedictorian fall in love the summer before she goes off to college.","77,839",$20.78M,7.3,85        
Bridget Jones's Baby,"
Comedy, Drama, Romance            ",123 min,(2016),"
    Bridget's focus on single life and her career is interrupted when she finds herself pregnant, but with one hitch ... she can only be fifty percent sure of the identity of her baby's father.","62,253",$24.25M,6.5,59        
The Wedding Planner,"
Comedy, Romance            ",103 min,(2001),"
    Mary Fiore is San Francisco's most successful supplier of romance and glamor. She knows all the tricks. She knows all the rules. But then she breaks the most important rule of all: she falls in love with the groom.","72,071",$60.40M,5.3,33        
My Big Fat Greek Wedding,"
Comedy, Drama, Romance            ",95 min,(2002),"
    A young Greek woman falls in love with a non-Greek and struggles to get her family to accept him while she comes to terms with her heritage and cultural identity.","114,982",$241.44M,6.5,62        
The Secret Life of the American Teenager,"
Comedy, Drama, Family            ",43 min,(2008–2013),"
    15 year old Amy ends up pregnant after one night at band camp, throwing her whole life upside down. It doesn't help that she's now going to school with that guy.","18,767",,4.9,
Phantom of the Paradise,"
Comedy, Drama, Fantasy            ",91 min,(1974),"
    A disfigured composer sells his soul for the woman he loves so that she will perform his music. However, an evil record tycoon betrays him and steals his music to open his rock palace, The Paradise.","15,015",,7.4,67        
Maid in Manhattan,"
Comedy, Drama, Romance            ",105 min,(2002),"
    A Senatorial candidate falls for a hotel maid, thinking she is a socialite, when he sees her trying on a wealthy woman's dress.","80,180",$94.01M,5.2,45        
So I Married an Axe Murderer,"
Comedy, Romance            ",93 min,(1993),"
    A San Francisco poet who fears commitment suspects his girlfriend may have a knack for killing off her significant others.","31,610",$11.59M,6.4,
McLintock!,"
Comedy, Romance, Western            ",127 min,(1963),"
    Wealthy rancher G.W. McLintock uses his power and influence in the territory to keep the peace between farmers, ranchers, land-grabbers, Indians and corrupt government officials.","11,921",,7.2,
Red Shoes and the Seven Dwarfs,"
Animation, Action, Adventure            ",92 min,(2019),"
    Princes who have been turned into Dwarfs seek the red shoes of a lady in order to break the spell, although it will not be easy. A parody with a twist.",82,,6.8,
A Guide to Second Date Sex,"
Comedy, Romance            ",,(2019),"
    Laura and Ryan are perfect for each other: they both love Meryl Streep, have been totally destroyed by previous relationships, and they have no idea what they are supposed to do tonight. ...                ",76,,4.9,
Paper Towns,"
Comedy, Drama, Mystery            ",109 min,(2015),"
    After an all-night adventure, Quentin's lifelong crush, Margo, disappears, leaving behind clues that Quentin and his friends follow on the journey of a lifetime.","89,657",$32.00M,6.3,56        
Ice Age: Collision Course,"
Animation, Adventure, Comedy            ",94 min,(2016),"
    When Scrat's acorn sends an asteroid to Earth, the Herd must find a way to stop the asteroid from hitting Earth with the help of a returning friend.","50,848",$64.06M,5.7,34        
Freaky Friday,"
Comedy, Family, Fantasy            ",97 min,(2003),"
    An overworked mother and her daughter do not get along. When they switch bodies, each is forced to adapt to the other's life for one freaky Friday.","117,348",$110.23M,6.1,70        
The Game,"
Comedy, Drama, Romance            ",21 min,(2006–2015),"
    A spin-off of Girlfriends (2000) featuring a group of women who all have relationships with professional football players.","3,628",,6.7,
This Means War,"
Action, Comedy, Romance            ",103 min,(2012),"
    A pair of C.I.A. operatives wage an epic battle against one another when they discover they are dating the same woman.","169,574",$54.76M,6.3,31        
When We First Met,"
Comedy, Fantasy, Romance            ",97 min,(2018),"
    Noah meets Avery at a Halloween party and falls in love but gets friend-zoned. 3 years later she's engaged to someone else. Noah uses the photo booth time machine several times to return and fix things. Will it work or...?","36,660",,6.4,36        
Life as We Know It,"
Comedy, Drama, Romance            ",114 min,(2010),"
    Two single adults become caregivers to an orphaned girl when their mutual best friends die in an accident.","115,154",$53.37M,6.5,39        
How Do You Know,"
Comedy, Drama, Romance            ",121 min,(2010),"
    After being cut from the U.S.A. softball team and feeling a bit past her prime, Lisa finds herself evaluating her life and in the middle of a love triangle, as a corporate guy in crisis competes with her current, baseball-playing beau.","41,854",$30.21M,5.4,46        
Moonlighting,"
Comedy, Drama, Mystery            ",60 min,(1985–1989),"
    The quirky cases of a former model and a smart aleck detective who manage a private detective agency.","16,825",,7.6,
Modern Times,"
Comedy, Drama, Family            ",87 min,(1936),"
    The Tramp struggles to live in modern industrial society with the help of a young homeless woman.","197,672",$0.16M,8.5,96        
My Christmas Love,"
Comedy, Romance            ",120 min,(2016 TV Movie),"
    A hopeless romantic who can't ever seem to give a guy a real chance begins receiving each of the ""12 Days of Christmas"" as gifts anonymously at her door and begins to believe that the mystery suitor may finally live up to her expectations.","1,749",,6.4,
What Women Want,"
Comedy, Fantasy, Romance            ",127 min,(2000),"
    After an accident, a chauvinistic executive gains the ability to hear what women are really thinking.","183,118",$182.81M,6.4,47        
"I Love You, Man","
Comedy, Romance            ",105 min,(2009),"
    Friendless Peter Klaven goes on a series of man-dates to find a Best Man for his wedding. But, when his insta-bond with his new B.F.F. puts a strain on his relationship with his fiancée, can the trio learn to live happily ever after?","187,542",$71.44M,7.0,70        
10,"
Comedy, Romance            ",122 min,(1979),"
    A Hollywood composer goes through a mid-life crisis and becomes infatuated with a sexy, newly married woman.","14,274",$74.87M,6.1,68        
Before We Go,"
Comedy, Drama, Romance            ",95 min,(I) (2014),"
    Two strangers stuck in Manhattan for the night grow into each other's most trusted confidants when an evening of unexpected adventure forces them to confront their fears and take control of their lives.","47,020",$0.04M,6.8,31        
Mermaids,"
Comedy, Drama, Romance            ",110 min,(1990),"
    An unconventional single mother relocates with her two daughters to a small Massachusetts town in 1963, where a number of events and relationships both challenge and strengthen their familial bonds.","26,807",$35.42M,6.7,56        
The Flight Before Christmas,"
Comedy, Romance            ",88 min,(2015 TV Movie),"
    Two strangers who both happen to be in marketing, share a room at a bed-and-breakfast when a snowstorm strands their flight in Montana on Christmas Eve.","1,206",,6.0,
Patch Adams,"
Biography, Comedy, Drama            ",115 min,(1998),"
    The true story of a heroic man, Hunter ""Patch"" Adams, determined to become a medical doctor because he enjoys helping people. He ventured where no doctor had ventured before, using humour and pathos.","97,570",$135.03M,6.8,25        
It's Complicated,"
Comedy, Drama, Romance            ",120 min,(2009),"
    When attending their son's college graduation, a couple reignite the spark in their relationship. But the complicated fact is they're divorced and he's remarried.","82,150",$112.74M,6.5,57        
Sexual Chronicles of a French Family,"
Comedy, Drama, Romance            ",85 min,(2012),"
    Three generations of a French family open up about their sexual experiences and desires after young Romain is caught masturbating in his biology class.","3,635",,5.3,34        
Reality Bites,"
Comedy, Drama, Romance            ",99 min,(1994),"
    A documentary filmmaker and her fellow Gen X graduates face life after college, looking for work and love in Houston.","43,104",$20.98M,6.6,67        
The Avengers,"
Action, Comedy, Crime            ",60 min,(1961–1969),"
    A quirky spy show of the adventures of eccentrically suave British Agent John Steed (Patrick Macnee) and his predominately female partners.","6,042",,8.2,
Out of Sight,"
Comedy, Crime, Drama            ",123 min,(1998),"
    A career bank robber breaks out of jail, and shares a moment of mutual attraction with a U.S. Marshal he has kidnapped.","80,941",$37.56M,7.0,85        
Sleeping with Other People,"
Comedy, Drama, Romance            ",101 min,(2015),"
    A good-natured womanizer and a serial cheater form a platonic relationship that helps reform them in ways, while a mutual attraction sets in.","37,104",$0.81M,6.5,64        
Bewitched,"
Comedy, Fantasy, Romance            ",102 min,(2005),"
    Thinking he can overshadow an unknown actress in the part, an egocentric actor unknowingly gets a witch cast in an upcoming television remake of the classic sitcom ","66,169",$62.25M,4.8,34        
Gloria Bell,"
Comedy, Drama, Romance            ",102 min,(2018),"
    A free-spirited woman in her 50s seeks out love at L.A. dance clubs.","6,269",$5.61M,6.4,79        
Bedtime Stories,"
Comedy, Family, Fantasy            ",99 min,(2008),"
    A hotel handyman's life changes when the lavish bedtime stories he tells his niece and nephew start to magically come true.","83,814",$110.10M,6.0,33        
Auntie Mame,"
Comedy, Drama, Romance            ",143 min,(1958),"
    An orphan goes to live with his free-spirited aunt. Conflict ensues when the executor of his father's estate objects to the aunt's lifestyle.","9,669",$23.30M,7.9,
Ella Enchanted,"
Comedy, Family, Fantasy            ",96 min,(2004),"
    Ella is under a spell to be constantly obedient, a fact she must hide from her new step-family in order to protect the prince of the land, her friend for whom she's falling.","58,349",$22.92M,6.2,53        
A Christmas Prince,"
Comedy, Romance            ",92 min,(2017),"
    When a reporter goes undercover as a tutor to get the inside scoop on a playboy prince, she gets tangled in some royal intrigue and ends up finding love - but will she be able to keep up her lie?","12,512",,5.7,
Explorers,"
Adventure, Comedy, Family            ",109 min,(1985),"
    A boy obsessed with 50s sci-fi movies about aliens has a recurring dream about a blueprint of some kind, which he draws for his inventor friend. With the help of a third kid, they follow it and build themselves a spaceship. Now what?","18,347",$9.87M,6.6,58        
Wanderlust,"
Comedy, Romance            ",98 min,(2012),"
    Rattled by sudden unemployment, a Manhattan couple surveys alternative living options, ultimately deciding to experiment with living on a rural commune where free love rules.","70,023",$17.23M,5.6,53        
Penelope,"
Comedy, Fantasy, Romance            ",104 min,(2006),"
    A modern romantic tale about a young aristocratic heiress born under a curse that can only be broken when she finds true love with ""one who will accept her as one of their own.""","58,046",$10.01M,6.7,48        
Roman Holiday,"
Comedy, Romance            ",118 min,(1953),"
    A bored and sheltered princess escapes her guardians and falls in love with an American newsman in Rome.","119,549",,8.0,78        
My So-Called Life,"
Comedy, Drama, Romance            ",60 min,(1994–1995),"
    A 15-year-old girl and her trials and tribulations of being a teenager and dealing with friends, guys, parents, and school.","18,045",,8.3,
Young & Hungry,"
Comedy, Drama, Romance            ",22 min,(2014– ),"
    A well-off young tech entrepreneur hires a feisty young food blogger to be his personal chef.","13,070",,7.4,
Wild Child,"
Comedy, Drama, Romance            ",124 min,(2008),"
    A rebellious Malibu princess is shipped off to a strict English boarding school by her father.","46,295",$0.02M,6.1,
Cashback,"
Comedy, Drama, Romance            ",102 min,(2006),"
    After a painful breakup, Ben develops insomnia. To kill time, he starts working the late night shift at the local supermarket, where his artistic imagination runs wild.","80,411",$0.02M,7.2,54        
Popular,"
Comedy, Drama, Romance            ",60 min,(1999–2001),"
    Two girls who despise each other, due to being on opposite sides of the ""popularity fence"", are forced together upon learning that their parents are getting married.","5,801",,7.3,
The American President,"
Comedy, Drama, Romance            ",114 min,(1995),"
    A widowed U.S. President running for reelection and an environmental lobbyist fall in love. It's all above-board, but ""politics is perception,"" and sparks fly anyway.","49,032",$65.00M,6.8,67        
Never Been Kissed,"
Comedy, Drama, Romance            ",107 min,(1999),"
    A newspaper reporter enrolls in high school as part of research for a story.","78,803",$55.47M,6.0,60        
Failure to Launch,"
Comedy, Romance            ",97 min,(2006),"
    A thirty-something is still living with his parents until they hire an interventionist to help him graduate out of the house. That's when the fun begins.","68,630",$88.72M,5.6,47        
Grace Under Fire,"
Comedy, Romance            ",30 min,(1993–1998),"
    Grace is a recovering alcoholic, now divorced from an abusive husband, struggling to bring up three children on her own.","3,051",,6.3,
Happy Feet,"
Animation, Adventure, Comedy            ",108 min,(2006),"
    Into the world of the Emperor Penguins, who find their soul mates through song, a penguin is born who cannot sing. But he can tap dance something fierce!","160,555",$198.00M,6.4,77        
Chasing Amy,"
Comedy, Drama, Romance            ",113 min,(1997),"
    Holden and Banky are comic book artists. Everything's going good for them until they meet Alyssa, also a comic book artist. Holden falls for her, but his hopes are crushed when he finds out she's a lesbian.","126,994",$12.01M,7.2,71        
The Little Hours,"
Comedy, Romance            ",90 min,(2017),"
    In the Middle Ages, a young servant fleeing from his master takes refuge at a convent full of emotionally unstable nuns. Introduced as a deaf mute man, he must fight to hold his cover as the nuns try to resist temptation.","16,619",$1.65M,5.8,69        
Take Me Home Tonight,"
Comedy, Drama, Romance            ",97 min,(2011),"
    Four years after graduation, an awkward high school genius uses his sister's boyfriend's Labor Day party as the perfect opportunity to make his move on his high school crush.","49,311",$6.92M,6.3,42        
The Hottie & the Nottie,"
Comedy, Romance            ",91 min,(2008),"
    A woman agrees to go on a date with a man only if he finds a suitor for her unattractive best friend.","35,598",$0.03M,1.9,7        
White Christmas,"
Comedy, Musical, Romance            ",120 min,(1954),"
    A successful song-and-dance team become romantically involved with a sister act and team up to save the failing Vermont inn of their former commanding general.","28,710",$30.00M,7.6,
The War of the Roses,"
Comedy, Romance            ",116 min,(1989),"
    A married couple try everything to get each other to leave the house in a vicious divorce battle.","45,305",$86.89M,6.8,79        
Morning Glory,"
Comedy, Drama, Romance            ",107 min,(2010),"
    An upstart television producer accepts the challenge of reviving a struggling morning show program with warring co-hosts.","68,941",$31.01M,6.5,57        
Moonstruck,"
Comedy, Drama, Romance            ",102 min,(1987),"
    Loretta Castorini, a bookkeeper from Brooklyn, New York, finds herself in a difficult situation when she falls for the brother of the man she has agreed to marry.","44,970",$80.64M,7.1,83        
Pushing Tin,"
Comedy, Drama, Romance            ",124 min,(1999),"
    A feud develops between two air traffic controllers: one cocky and determined while the other is restrained and laidback, which inevitably affects their lives.","27,295",$8.41M,6.0,47        
