Movie_Name,Genre,Runtime,Year,Synopsis,Votes,Gross Amount,Rating,Metascore
"Crazy, Stupid, Love.","
Comedy, Drama, Romance            ",118 min,(2011),"
    A middle-aged husband's life changes dramatically when his wife asks him for a divorce. He seeks to rediscover his manhood with the help of a newfound friend, Jacob, learning to pick up girls at bars.","444,123",$84.35M,7.4,68        
Four Weddings and a Funeral,"
Comedy, Romance            ",60 min,(2019– ),"
    Television adaptation of the romantic comedy film 'Four Weddings and a Funeral'.","2,301",,7.0,
Mad About You,"
Comedy, Romance            ",22 min,(1992–1999),"
    Paul and Jamie Buchman are a recently-married New York City couple. They point out the gentle humor in domesticity and life's everyday situations.","19,271",,6.6,
The Old Man & the Gun,"
Biography, Comedy, Crime            ",93 min,(2018),"
    Based on the true story of Forrest Tucker and his audacious escape from San Quentin at the age of 70 to an unprecedented string of heists that confounded authorities and enchanted the public.","32,183",$11.28M,6.7,80        
The Lobster,"
Comedy, Drama, Romance            ",119 min,(2015),"
    In a dystopian near future, single people, according to the laws of The City, are taken to The Hotel, where they are obliged to find a romantic partner in forty-five days or are transformed into beasts and sent off into The Woods.","191,119",$8.70M,7.1,82        
Bridesmaids,"
Comedy, Romance            ",125 min,(I) (2011),"
    Competition between the maid of honor and a bridesmaid, over who is the bride's best friend, threatens to upend the life of an out-of-work pastry chef.","253,744",$169.11M,6.8,75        
Can You Keep a Secret?,"
Comedy, Romance            ",94 min,(2019),"
    Thinking they're about to crash, Emma spills her secrets to a stranger on a plane. At least, she thought he was a stranger...Until she later meets Jack, her company's young CEO, who now knows every humiliating detail about her. Based on the blockbuster NYT bestseller.","3,230",,5.2,35        
Aladdin,"
Animation, Adventure, Comedy            ",90 min,(1992),"
    A kindhearted street urchin and a power-hungry Grand Vizier vie for a magic lamp that has the power to make their deepest wishes come true.","337,280",$217.35M,8.0,86        
Amélie,"
Comedy, Romance            ",122 min,(2001),"
    Amélie is an innocent and naive girl in Paris with her own sense of justice. She decides to help those around her and, along the way, discovers love.","664,976",$33.23M,8.3,69        
Bewitched,"
Comedy, Family, Fantasy            ",25 min,(1964–1972),"
    A witch married to an ordinary man cannot resist using her magic powers to solve the problems her family faces.","15,081",,7.5,
Wedding Crashers,"
Comedy, Romance            ",119 min,(2005),"
    John Beckwith and Jeremy Grey, a pair of committed womanizers who sneak into weddings to take advantage of the romantic tinge in the air, find themselves at odds with one another when John meets and falls for Claire Cleary.","318,595",$209.22M,6.9,64        
Pride and Prejudice and Zombies,"
Action, Comedy, Fantasy            ",108 min,(2016),"
    Five sisters in 19th century England must cope with the pressures to marry while protecting themselves from a growing population of zombies.","47,607",$10.91M,5.8,45        
The Graduate,"
Comedy, Drama, Romance            ",106 min,(1967),"
    A disillusioned college graduate finds himself torn between his older lover and her daughter.","241,955",$104.95M,8.0,83        
The Love Witch,"
Comedy, Horror, Romance            ",120 min,(2016),"
    A modern-day witch uses spells and magic to get men to fall in love with her, with deadly consequences.","10,315",$0.23M,6.2,82        
Falling Inn Love,"
Comedy, Romance            ",98 min,(2019),"
    When city girl Gabriela spontaneously enters a contest and wins a rustic New Zealand inn, she teams up with bighearted contractor Jake Taylor to fix and flip it.","9,589",,5.6,
The Princess and the Frog,"
Animation, Adventure, Comedy            ",97 min,(2009),"
    A waitress, desperate to fulfill her dreams as a restaurant owner, is set on a journey to turn a frog prince back into a human being, but she has to face the same problem after she kisses him.","113,207",$104.40M,7.1,73        
Just Go with It,"
Comedy, Romance            ",117 min,(2011),"
    On a weekend trip to Hawaii, a plastic surgeon convinces his loyal assistant to pose as his soon-to-be-divorced wife in order to cover up a careless lie he told to his much-younger girlfriend.","206,373",$103.03M,6.4,33        
The French Dispatch,"
Comedy, Drama, Romance            ",,(2020),"
    A love letter to journalists set in an outpost of an American newspaper in a fictional 20th-century French city that brings to life a collection of stories published in ""The French Dispatch"" magazine.",,,,
